ID,QUIZ: Financial Aid Requirement,Career Action Plan Check-In 1,Career Action Plan Check-In 2,Career Action Plan Check-In 3,Part 1 of Final Project - Interview Professional Approval,Part 2 of Final Project: Informational Interview,Week 1: To-DO Points Submission,Week 2: To-DO Points Submission,Week 3: To-DO Points Submission,Week 4: To-DO Points Submission,Week 5: To-DO Points Submission,Week 6: To-DO Points Submission,Week 7: To-DO Points Submission,Week 8: To-DO Points Submission,Week 9: To-DO Points Submission,Week 10: To-DO Points Submission,Week 11: To-DO Points Submission,Week 12: To-DO Points Submission,Week 13: To-DO Points Submission,1st Points Deadline Activity Assignment,2nd Points Deadline Activity Assignment,Final Earned To-DO Points Running Total (Max 30),Assignment 1: Networking with a Purpose,Assignment 2: The Optimized Resume,Assignment 3: Communicating Your Brand,In-Class LIVE Lecture Assignment for Attendance,Week 2 Quiz,Week 3 Quiz,Week 4 Quiz,Week 5 Quiz,Week 6 Quiz,Week 7 Quiz,Week 8 Quiz,Week 9 Quiz,Week 11 Quiz,Week 13 Quiz,Final Points,Final Score,Final Grade
4450983,9.63,5,5,0,10,40,,10,,5,,,10,,,,5,,,15,15,30,30,5,30,30,5,0,5,5,5,5,5,0,5,5,234.63,93.85,A
4428114,10,5,5,0,10,40,,,,,10,,10,,,,10,,,15,15,30,30,5,30,30,5,5,5,5,5,5,5,5,5,5,245,98,A
4480087,10,5,5,5,10,0,,,,,,,,,,,,,,0,0,0,30,5,0,0,5,5,5,5,0,4,5,5,5,5,114,45.6,F
4425877,8.94,5,5,5,10,40,,,,,,,15,,,,,,20,15,15,30,0,0,30,0,5,5,5,5,5,5,4,5,5,5,182.94,73.18,C
4461932,10,5,5,5,10,40,,5,,,,,10,,,,,,20,15,15,30,30,5,30,30,4.67,5,5,5,5,0,5,5,5,5,244.67,97.87,A
4510614,10,5,5,5,0,40,,,,10,20,,,,,,,,,15,15,30,22.5,5,29,30,5,5,5,5,5,5,5,5,5,5,231.5,92.6,A
4378025,10,5,5,5,10,40,,30,,,,,,,,,,,,15,15,30,22.5,5,30,30,5,4,5,5,5,0,4,5,5,5,235.5,94.2,A
4509002,10,5,5,5,10,40,,,5,15,,,,,,,,,5,15,0,15,22.5,5,29,30,5,4,5,5,5,5,5,5,5,5,225.5,90.2,A
4478244,10,5,5,5,10,40,,,,,,30,,,,,,,,15,15,30,30,5,21.5,30,5,5,5,5,5,5,5,5,5,5,241.5,96.6,A
4423884,10,5,5,0,10,40,,,10,,,10,,,,,10,,,15,15,30,30,5,30,30,5,5,5,5,5,5,5,5,5,5,245,98,A
4453642,10,5,5,5,10,40,,5,,,,,10,,,,,,20,15,15,30,30,5,22.5,30,5,5,5,5,5,5,4,5,5,5,241.5,96.6,A
4425074,9.5,5,0,5,10,40,,,20,5,5,,,,,,,,,15,15,30,30,5,18,30,5,5,5,5,5,5,5,5,5,4,231.5,92.6,A
4478031,10,5,5,5,10,40,,10,,,,10,10,,,,,,,15,15,30,30,5,30,30,5,5,5,5,5,5,5,5,5,5,250,100,A
4376659,10,5,5,0,10,40,,,,,,,15,,,,20,,,15,15,30,30,5,30,30,4.67,5,5,5,4,5,5,5,0,5,238.67,95.47,A
